20181111-ufa-spartakmoskva-premqer-liga-pramaatranslacia-13-00;Уфа - Спартак Москва. Премьер-лига. Прямая трансляция ;13-00;
20181111-atalanta-inter-seriaa-pramaatranslacia-13-30;Аталанта - Интер. Серия А. Прямая трансляция ;13-30;
20181111-rossia-cehia-kubokkarqala-pramaatranslacia-13-30;Россия - Чехия. Кубок Карьяла. Прямая трансляция ;13-30;
20181111-liverpulq-fulhem-premqer-liga-pramaatranslacia-14-00;Ливерпуль - Фулхэм. Премьер-лига. Прямая трансляция ;14-00;
20181111-krasnodar-enisej-premqer-liga-pramaatranslacia-15-00;Краснодар - Енисей. Премьер-лига. Прямая трансляция ;15-00;
20181111-rubin-lokomotivmoskva-premqer-liga-pramaatranslacia-15-30;Рубин - Локомотив Москва. Премьер-лига. Прямая трансляция ;15-30;
20181111-roma-sampdoria-seriaa-pramaatranslacia-16-00;Рома - Сампдория. Серия А. Прямая трансляция ;16-00;
20181111-celsi-everton-premqer-liga-pramaatranslacia-16-15;Челси - Эвертон. Премьер-лига. Прямая трансляция ;16-15;
20181111-dinamokiev-fkmariupolq-premqer-liga-pramaatranslacia-17-00;Динамо Киев - ФК Мариуполь. Премьер-лига. Прямая трансляция ;17-00;
20181111-barselona-betis-primera-pramaatranslacia-17-10;Барселона - Бетис. Примера. Прямая трансляция ;17-10;
20181111-cska-zenit-premqer-liga-pramaatranslacia-18-00;ЦСКА - Зенит. Премьер-лига. Прямая трансляция ;18-00;
20181111-lokomotivazagreb-dinamozagreb-pervijdivizion-pramaatranslacia-18-30;Локомотива Загреб - Динамо Загреб. Первый дивизион. Прямая трансляция ;18-30;
20181111-mancestersiti-mancesterunajted-premqer-liga-pramaatranslacia-18-30;Манчестер Сити - Манчестер Юнайтед. Премьер-лига. Прямая трансляция ;18-30;
20181111-arsenal-vulverhempton-premqer-liga-pramaatranslacia-18-30;Арсенал - Вулверхэмптон. Премьер-лига. Прямая трансляция ;18-30;
20181111-vorskla-sahterdoneck-premqer-liga-pramaatranslacia-19-30;Ворскла - Шахтер Донецк. Премьер-лига. Прямая трансляция ;19-30;
20181111-sevilqa-espanqol-primera-pramaatranslacia-19-30;Севилья - Эспаньол. Примера. Прямая трансляция ;19-30;
20181111-dinamobuharest-staua-vissaaliga-pramaatranslacia-21-00;Динамо Бухарест - Стяуа. Высшая лига. Прямая трансляция ;21-00;
20181111-milan-uventus-seriaa-pramaatranslacia-21-30;Милан - Ювентус. Серия А. Прямая трансляция ;21-30;
20181111-selqta-realmadrid-primera-pramaatranslacia-21-45;Сельта - Реал Мадрид. Примера. Прямая трансляция ;21-45;
20181111-monako-psj-pervaaliga-pramaatranslacia-22-00;Монако - ПСЖ. Первая лига. Прямая трансляция ;22-00;
